"doc_id","sentences","env","soc","gov","action","specificity","cti","CVR","Year","Revenue","Industry","Class","Corporate_structure","Region","Employees","env_soc_ratio"
"doc_2228",30,0.4,0.5,0.266666666666667,0.166666666666667,0.0833333333333333,1,39164353,2019,"950,546,520,012,361","Finance and Insurance","Medium (C)","Limited Liability Companies","Region Hovedstaden",1,0.933333333333333
"doc_2229",3,0.333333333333333,1,0.666666666666667,0,0,NA,28707843,2019,"NULL","Finance and Insurance","Medium (C)","Limited Liability Companies","Region Midtjylland",20,0.666666666666667
"doc_223",8,0.875,0.125,0.125,0,0.285714285714286,NA,40831851,2022,"2257657000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Midtjylland",407,1.66666666666667
"doc_2230",11,0.0909090909090909,0.363636363636364,0.636363636363636,0,0,NA,24224929,2020,"483924754","Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",16,0.8
"doc_2231",18,0.888888888888889,0.722222222222222,0.611111111111111,0.4375,0,1,16313440,2023,"1457509000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",578,1.09677419354839
"doc_2232",2,0.5,1,0.5,0,0,NA,19995275,2022,"373336846","Construction","Medium (C)","Limited Liability Companies","Region Hovedstaden",16,0.75
"doc_2233",5,0.6,0.4,0.6,0,0,NA,17516345,2020,"802178000","Information and Communication","Very Large (D)","Limited Liability Companies","NULL",372,1.14285714285714
"doc_2235",4,0.25,0.25,0.75,0,0,NA,25194969,2021,"901685000","Trade","Large (C+)","Limited Liability Companies","Region Nordjylland",71,1
"doc_2236",2,0.5,1,1,0,0,NA,62572019,2022,"240642000","Services","Large (C+)","Foundations","Region Hovedstaden",340,0.75
"doc_2237",1,0,1,1,NA,NA,NA,30087216,2020,"365128769","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",287,0.5
"doc_2238",2,0,0.5,0.5,NA,NA,NA,35866027,2018,"7747000","Construction","Small (A-B)","Limited Liability Companies","Region Hovedstaden",0,0.666666666666667
"doc_2239",7,0,0.857142857142857,0,NA,NA,NA,34465843,2019,"233349401","Knowledge Services","Medium (C)","Limited Liability Companies","Region Hovedstaden",654,0.538461538461538
"doc_224",16,0.3125,0.5,0.625,0,0,NA,38302051,2021,"859017000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",318,0.875
"doc_2240",5,0.6,0.4,0.8,0,0,NA,28511345,2018,"2734540178","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",67,1.14285714285714
"doc_2241",1,0,1,1,NA,NA,NA,44782510,2020,"6043238000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Midtjylland",4393,0.5
"doc_2242",28,0.107142857142857,0.214285714285714,0.392857142857143,0.333333333333333,0,1,32563643,2021,"523740000","Services","Large (C+)","Limited Liability Companies","Region Midtjylland",26,0.911764705882353
"doc_2243",34,0.411764705882353,0.529411764705882,0.0882352941176471,0.714285714285714,0.142857142857143,0.8,38433849,2021,"564948000","Finance and Insurance","Unknown","Limited Liability Companies","Region Hovedstaden",NA,0.923076923076923
"doc_2244",6,0,0.666666666666667,0.166666666666667,NA,NA,NA,74663028,2022,"NULL","Public and Social Services","Small (A-B)","Foundations","Region Nordjylland",61,0.6
